timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680275839583,269,https://pharma-shop.tn/mon-compte-20,200,OK,Thread Group 1-3,bin,true,,8210,1166,5,5,https://pharma-shop.tn/img/cms/logofooter.png,269,0,0
1680275839824,232,https://pharma-shop.tn/mon-compte-21,200,OK,Thread Group 1-3,text,true,,2002,1206,5,5,https://pharma-shop.tn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,232,0,0
1680275839834,3559,https://pharma-shop.tn/mon-compte-22,200,OK,Thread Group 1-3,text,true,,901338,1194,5,5,https://pharma-shop.tn/themes/pharmashop/assets/cache/bottom-fbcb4b960.js,222,0,0
1680275833583,9918,https://pharma-shop.tn/mon-compte,200,OK,Thread Group 1-1,text,true,,2836785,25999,5,5,https://pharma-shop.tn/connexion?back=my-account,935,0,609
1680275833583,935,https://pharma-shop.tn/mon-compte-0,302,Found,Thread Group 1-1,text,true,,1590,504,5,5,https://pharma-shop.tn/mon-compte,935,0,609
1680275834522,995,https://pharma-shop.tn/mon-compte-1,200,OK,Thread Group 1-1,text,true,,88770,1015,5,5,https://pharma-shop.tn/connexion?back=my-account,660,0,0
1680275835565,548,https://pharma-shop.tn/mon-compte-2,200,OK,Thread Group 1-1,bin,true,,6261,1170,5,5,https://pharma-shop.tn/img/favicon.ico?1647529441,428,0,254
1680275835565,7437,https://pharma-shop.tn/mon-compte-3,200,OK,Thread Group 1-1,text,true,,791780,1769,5,5,https://pharma-shop.tn/themes/pharmashop/assets/cache/theme-ec13f3961.css,62,0,0
1680275835565,6294,https://pharma-shop.tn/mon-compte-0,200,OK,,text,true,,781353,1194,0,0,https://pharma-shop.tn/themes/pharmashop/assets/cache/theme-ec13f3961.css,62,0,0
1680275842506,496,https://pharma-shop.tn/mon-compte-1,200,OK,ResDownload-Thread-5,text,true,,10427,575,0,0,https://fonts.googleapis.com/css2?family=Work+Sans:wght@100;200;300;400;500;600;700;800;900&display=swap,377,0,298
1680275835566,532,https://pharma-shop.tn/mon-compte-4,200,OK,Thread Group 1-1,text,true,,10029,517,5,5,https://cdn.onesignal.com/sdks/OneSignalSDK.js,405,0,262
1680275835565,462,https://pharma-shop.tn/mon-compte-5,200,OK,Thread Group 1-1,text,true,,3803,1160,5,5,https://pharma-shop.tn/img/cms/book.svg,406,0,243
1680275835566,545,https://pharma-shop.tn/mon-compte-6,200,OK,Thread Group 1-1,bin,true,,10561,1156,5,5,https://pharma-shop.tn/img/logo.png,404,0,244
1680275835566,624,https://pharma-shop.tn/mon-compte-7,200,OK,Thread Group 1-1,text,true,,13699,1161,5,5,https://pharma-shop.tn/img/cms/link6.svg,427,0,255
1680275836028,160,https://pharma-shop.tn/mon-compte-8,200,OK,Thread Group 1-1,bin,true,,6948,1165,5,5,https://pharma-shop.tn/img/cms/nutrition.png,89,0,0
1680275836099,1286,https://pharma-shop.tn/mon-compte-9,200,OK,Thread Group 1-1,text,true,,22469,1161,5,5,https://pharma-shop.tn/img/cms/link3.svg,473,0,350
1680275836113,800,https://pharma-shop.tn/mon-compte-10,200,OK,Thread Group 1-1,bin,true,,31961,1178,5,5,https://pharma-shop.tn/img/cms/menu/menu-right-visage.jpg,79,0,0
1680275836114,2213,https://pharma-shop.tn/mon-compte-11,200,OK,Thread Group 1-1,bin,true,,122520,1171,5,5,https://pharma-shop.tn/img/cms/bioxine-siteweb.png,75,0,0
1680275836190,1867,https://pharma-shop.tn/mon-compte-12,200,OK,Thread Group 1-1,bin,true,,87259,1161,5,5,https://pharma-shop.tn/img/cms/LAINO.PNG,233,0,0
1680275836191,2666,https://pharma-shop.tn/mon-compte-13,200,OK,Thread Group 1-1,bin,true,,120100,1163,5,5,https://pharma-shop.tn/img/cms/klorane.png,248,0,0
1680275836914,1824,https://pharma-shop.tn/mon-compte-14,200,OK,Thread Group 1-1,bin,true,,95269,1161,5,5,https://pharma-shop.tn/img/cms/AKTIV.png,310,0,0
1680275837386,2147,https://pharma-shop.tn/mon-compte-15,200,OK,Thread Group 1-1,bin,true,,110928,1170,5,5,https://pharma-shop.tn/img/cms/gelzone-intime.png,173,0,0
1680275838058,1579,https://pharma-shop.tn/mon-compte-16,200,OK,Thread Group 1-1,bin,true,,98650,1159,5,5,https://pharma-shop.tn/img/cms/svr.png,177,0,0
1680275838327,1744,https://pharma-shop.tn/mon-compte-17,200,OK,Thread Group 1-1,bin,true,,120396,1161,5,5,https://pharma-shop.tn/img/cms/sobio.png,182,0,0
1680275838741,1385,https://pharma-shop.tn/mon-compte-18,200,OK,Thread Group 1-1,bin,true,,79859,1162,5,5,https://pharma-shop.tn/img/cms/beurer.png,259,0,0
1680275838860,1662,https://pharma-shop.tn/mon-compte-19,200,OK,Thread Group 1-1,bin,true,,102395,1169,5,5,https://pharma-shop.tn/img/cms/nuxe-rasage_1.png,225,0,0
1680275839535,492,https://pharma-shop.tn/mon-compte-20,200,OK,Thread Group 1-1,bin,true,,8202,1166,5,5,https://pharma-shop.tn/img/cms/logofooter.png,289,0,0
1680275839639,278,https://pharma-shop.tn/mon-compte-21,200,OK,Thread Group 1-1,text,true,,1996,1206,5,5,https://pharma-shop.tn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,278,0,0
1680275839918,3584,https://pharma-shop.tn/mon-compte-22,200,OK,Thread Group 1-1,text,true,,901340,1194,5,5,https://pharma-shop.tn/themes/pharmashop/assets/cache/bottom-fbcb4b960.js,178,0,0
1680275834137,9369,https://pharma-shop.tn/mon-compte,200,OK,Thread Group 1-4,text,true,,2836764,25999,5,5,https://pharma-shop.tn/connexion?back=my-account,581,0,232
1680275834137,581,https://pharma-shop.tn/mon-compte-0,302,Found,Thread Group 1-4,text,true,,1580,504,5,5,https://pharma-shop.tn/mon-compte,581,0,232
1680275834719,1520,https://pharma-shop.tn/mon-compte-1,200,OK,Thread Group 1-4,text,true,,88763,1015,5,5,https://pharma-shop.tn/connexion?back=my-account,788,0,0
1680275836245,925,https://pharma-shop.tn/mon-compte-2,200,OK,Thread Group 1-4,bin,true,,6257,1170,5,5,https://pharma-shop.tn/img/favicon.ico?1647529441,673,0,514
1680275836245,6718,https://pharma-shop.tn/mon-compte-3,200,OK,Thread Group 1-4,text,true,,791772,1769,5,5,https://pharma-shop.tn/themes/pharmashop/assets/cache/theme-ec13f3961.css,248,0,0
